id,store_name,store_email,department,income,date_measured,country
305,"Jounce Therapeutics, Inc.",,Tools,$75432344.88,4-10-1995,United Kingdom
306,Bank of America Corporation,qfotherby8h@whitehouse.gov,Movies,$63909544.62,20-10-2002,South Africa
307,Unico American Corporation,,,$53265907.45,11-6-1994,United Kingdom
308,First Internet Bancorp,ckaret8j@etsy.com,Health,$62626848.64,13-4-2003,United Kingdom
309,Mobile TeleSystems OJSC,,Outdoors,$55107648.52,14-11-1996,South Africa
310,"Spirit Realty Capital, Inc.",bfulham8l@census.gov,Movies,$83383020.78,17-9-1988,United Kingdom
311,3D Systems Corporation,,Jewelry,$57428327.05,20-1-1995,Unknown
312,Tennessee Valley Authority,,Shoes,$51518536.03,15-10-1997,United Kingdom
313,Microchip Technology Incorporated,,Shoes,$58605715.07,11-4-2001,United States
314,Semtech Corporation,,Health,$53853258.11,9-8-2010,Unknown
315,"Aemetis, Inc",,Outdoors,$43377228.43,23-11-2001,United Kingdom
316,"Lexicon Pharmaceuticals, Inc.",,,$52352073.31,5-11-2005,Unknown
317,Brixmor Property Group Inc.,,Computers,$45168953.12,22-1-2007,United States
318,Gladstone Commercial Corporation,wrogers8t@unesco.org,Automotive,$77747734.05,22-4-1988,United States
319,Belmond Ltd.,,Home,$20867127.12,11-1-1999,South Africa
320,"EastGroup Properties, Inc.",hiannazzi8v@ask.com,Home,$44636687.53,9-4-2008,Unknown
321,Dynatronics Corporation,pbarthot8w@nature.com,Home,$34463473.90,4-8-1991,United Kingdom
322,"Eleven Biotherapeutics, Inc.",jrambadt8x@ebay.co.uk,Electronics,$43943571.43,19-12-2004,United Kingdom
323,"Virtu Financial, Inc.",bkennion8y@timesonline.co.uk,Home,$24827655.34,15-1-2005,Unknown
324,Cabot Microelectronics Corporation,,Games,$4881195.82,12-1-1988,United Kingdom
325,Gladstone Investment Corporation,,Shoes,$19933912.46,23-4-2011,Unknown
326,Internap Corporation,,Music,$5784490.01,13-4-2000,United States
327,"THL Credit, Inc.",ependergrast92@newyorker.com,Toys,$36378835.83,17-6-1998,United Kingdom
328,Ramco-Gershenson Properties Trust,ekewzick93@imdb.com,Health,$74813585.49,25-3-1993,South Africa
329,"CoStar Group, Inc.",,Electronics,$6800811.25,12-2-1992,South Africa
330,Oxford Immunotec Global PLC,glamond95@themeforest.net,Computers,$55792920.28,8-5-2008,South Africa
331,Euroseas Ltd.,kbirdis96@goo.gl,Games,$94297519.86,7-1-2004,United States
332,Anchor Bancorp,,Kids,$42191630.16,26-2-1995,Unknown
333,Cathay General Bancorp,,Movies,$2860608.38,26-6-2009,United States
334,Gladstone Commercial Corporation,,Games,$36801484.55,7-6-1996,South Africa
335,"Archrock Partners, L.P.",rpaolone9a@bbb.org,Garden,$69153558.01,19-10-1989,United Kingdom
336,"NantKwest, Inc.",,Shoes,$72474431.32,11-5-2004,South Africa
337,WisdomTree Emerging Markets Corporate Bond Fund,,Music,$51335581.09,9-6-2002,Unknown
338,Assured Guaranty Ltd.,jmaccrie9d@hubpages.com,Outdoors,$48254103.47,12-8-1994,Unknown
339,Quest Resource Holding Corporation.,mweatherill9e@fotki.com,Computers,$80517867.67,12-1-2011,United Kingdom
340,"BankUnited, Inc.",mbamlett9f@jalbum.net,Games,$76352778.44,8-3-2006,Unknown
341,Franco-Nevada Corporation,,Movies,$53620653.62,8-12-2003,United Kingdom
342,Fang Holdings Limited,ldesorts9h@theatlantic.com,Industrial,$95632107.33,17-3-2003,United Kingdom
343,Urstadt Biddle Properties Inc.,,Computers,$67307275.59,14-11-1986,South Africa
344,Validea Market Legends ETF,,Industrial,$41200857.86,13-5-2002,United States
345,"KMG Chemicals, Inc.",,Music,$47767315.32,10-1-1995,South Africa
346,"America Movil, S.A.B. de C.V.",kberi9l@howstuffworks.com,Baby,$55459846.70,20-11-1979,United Kingdom
347,"Bridgepoint Education, Inc.",,Baby,$84766272.58,25-2-1996,United Kingdom
348,iStar Financial Inc.,,Toys,$47420832.54,20-6-1996,United Kingdom
349,Bristol-Myers Squibb Company,lphilipsen9o@addthis.com,,$43693391.96,27-9-2011,South Africa
350,Abbott Laboratories,,Games,$8582829.93,21-9-2002,Unknown
351,PowerShares DWA Consumer Cyclicals Momentum Portfolio,lhanselmann9q@archive.org,Books,$99724824.84,3-3-2001,South Africa
352,"Morgan Stanley Emerging Markets Debt Fund, Inc.",,Baby,$10711895.07,4-11-1999,Unknown
353,Center Coast MLP & Infrastructure Fund,,Grocery,$67202226.04,23-12-1997,United States
354,"CoreLogic, Inc.",ssollam9t@spotify.com,,$27268360.76,21-3-2009,South Africa
355,"Determine, Inc. ",,Shoes,$94498247.28,5-11-2003,United Kingdom
356,Morgan Stanley,,Outdoors,$76549550.49,21-11-1987,Unknown
357,Peabody Energy Corporation,,Shoes,$90567885.67,15-11-1993,United Kingdom
358,Walt Disney Company (The),djacombs9x@bluehost.com,Garden,$2743540.48,5-12-1999,United States
359,"Ares Dynamic Credit Allocation Fund, Inc.",,Music,$6977538.73,23-10-2012,South Africa
360,Innospec Inc.,,Kids,$67586090.47,15-5-2010,United States
361,"PS Business Parks, Inc.",,Beauty,$39772292.74,11-2-2008,United Kingdom
362,"Sonic Foundry, Inc.",ydurbera1@posterous.com,Automotive,$54563064.26,21-8-1988,South Africa
363,"Sabra Healthcare REIT, Inc.",,Music,$432300.67,16-3-2006,United States
364,Arch Capital Group Ltd.,,Games,$91869140.82,6-9-1993,United States
365,STRATS Trust,dgartona4@storify.com,Games,$39538825.39,24-11-1987,United States
366,"Teladoc, Inc.",,Baby,$47441517.50,25-1-2005,United States
367,Hanmi Financial Corporation,,Garden,$83852091.39,15-1-1994,South Africa
368,"Under Armour, Inc.",,Home,$67950481.35,2-2-2010,South Africa
369,FlexShares US Quality Large Cap Index Fund,,Clothing,$87484694.40,15-5-1993,South Africa
370,Navient Corporation,wgrimmera9@home.pl,Automotive,$20007131.08,7-9-2011,South Africa
371,CyberArk Software Ltd.,amawtusaa@nature.com,Movies,$63948129.39,18-11-2006,Unknown
372,"Badger Meter, Inc.",,Industrial,$62502777.69,13-4-2001,United States
373,Citigroup Inc.,,Baby,$46334843.90,4-9-2008,United States
374,"Versartis, Inc.",,Health,$48754395.04,15-7-1986,United Kingdom
375,Invitae Corporation,,Health,$2385987.81,5-4-2013,United States
376,Thomson Reuters Corp,smadreaf@jigsy.com,Shoes,$51547468.95,26-7-2008,United States
377,BlackRock Credit Allocation Income Trust,,Electronics,$19430942.93,2-2-1986,Unknown
378,ENGlobal Corporation,,Jewelry,$39426002.39,18-9-2004,United States
379,Prudential Public Limited Company,sfaggai@un.org,Health,$8899682.01,14-10-2009,United Kingdom
380,"Stag Industrial, Inc.",,Automotive,$96231012.11,24-10-2012,United States
381,Omega Protein Corporation,,Music,$1254974.99,25-2-2002,South Africa
382,"Yatra Online, Inc.",,Music,$53337613.23,4-11-2005,United Kingdom
383,Newfield Exploration Company,lcrispinam@ft.com,Electronics,$60988323.08,23-12-2003,South Africa
384,"Dime Community Bancshares, Inc.",,Tools,$34550715.23,20-10-2002,Unknown
385,"The Habit Restaurants, Inc.",,Outdoors,$67090265.09,14-7-2011,United Kingdom
386,iStar Financial Inc.,,Tools,$90913925.87,9-6-2007,United Kingdom
387,Westport Fuel Systems Inc,sbaileaq@dmoz.org,Movies,$24506673.97,1-7-2009,United States
388,Capital One Financial Corporation,,Music,$96324950.45,8-9-2008,United States
389,"Alliance One International, Inc.",lavonas@elpais.com,Computers,$67605258.34,3-10-2007,South Africa
390,Nuveen AMT-Free Municipal Value Fund,,Clothing,$13651757.37,25-6-2005,United States
391,"Intercept Pharmaceuticals, Inc.",cpaulinau@ihg.com,Grocery,$63929559.51,22-7-1996,United Kingdom
392,Akari Therapeutics Plc,,Outdoors,$56914044.09,13-3-1997,United States
393,500.com Limited,,Shoes,$29681328.65,25-6-2009,South Africa
394,"VeriSign, Inc.",,Shoes,$26493800.30,17-7-2001,United Kingdom
395,Silver Run Acquisition Corporation II,,Computers,$58529265.04,23-7-1996,United Kingdom
396,"CEVA, Inc.",crackhamaz@uol.com.br,Outdoors,$73581982.02,5-6-1998,United Kingdom
397,Colgate-Palmolive Company,,Electronics,$56683211.07,10-3-2009,South Africa
398,"DXP Enterprises, Inc.",,Garden,$90905400.51,10-2-2012,United Kingdom
399,"Gilead Sciences, Inc.",cconstantb2@cdbaby.com,Beauty,$85257269.02,5-1-2011,South Africa
400,"Freeport-McMoran, Inc.",eproomb3@google.ru,Kids,$990770.32,6-12-1979,United Kingdom
401,"ABAXIS, Inc.",bniceb4@wikimedia.org,Health,$89050088.78,11-7-2003,United States
402,Hess Corporation,,Electronics,$97791907.02,16-6-2011,United Kingdom
403,"Sigma Labs, Inc.",,Garden,$81931559.97,4-12-1993,United States
404,Blackrock Muni New York Intermediate Duration Fund Inc,,Games,$83584004.94,26-8-2010,United States
405,BB&T Corporation,,Baby,$42144698.02,11-7-2010,United Kingdom
406,"Hartford Financial Services Group, Inc. (The)",mpriggb9@theatlantic.com,Garden,$37333038.58,23-6-2002,South Africa
407,Novanta Inc.,flabernba@sina.com.cn,Kids,$27104361.17,23-11-1999,United Kingdom
408,"GTT Communications, Inc.",,Movies,$82216383.24,7-12-2009,South Africa
409,"Identiv, Inc.",jstairsbc@jalbum.net,Grocery,$84127848.79,22-11-2007,United States
410,First Trust Nasdaq Bank ETF,,Industrial,$59140844.44,25-4-1992,South Africa
411,"Sun Communities, Inc.",,Clothing,$76243188.51,22-12-1998,United Kingdom
412,"Autoliv, Inc.",jjanikowskibf@upenn.edu,Games,$82614516.67,24-3-1997,United States
413,Peregrine Pharmaceuticals Inc.,,Electronics,$85606001.41,21-7-2012,United States
414,Gazit-Globe Ltd.,pchampneybh@examiner.com,Beauty,$39350686.88,25-1-2010,United Kingdom
415,Crawford & Company,tcassiebi@gov.uk,,$17634383.17,18-12-1955,United States
416,First Trust RiverFront Dynamic Asia Pacific ETF,,Electronics,$81540278.86,14-9-2000,United Kingdom
417,Petroquest Energy Inc,krenisonbk@google.it,Automotive,$22376665.50,9-10-2004,United Kingdom
418,Visteon Corporation,,Toys,$72521232.31,11-4-1998,United Kingdom
419,Severn Bancorp Inc,senderlebm@stanford.edu,Baby,$63712482.78,1-4-2010,South Africa
420,Ryerson Holding Corporation,,Industrial,$86246464.11,20-6-2004,United States
421,"Citizens Community Bancorp, Inc.",bmelodybo@mtv.com,Books,$81928069.85,8-9-1988,United States
422,Nuveen Credit Opportunities 2022 Target Term Fund,,Electronics,$35573309.87,10-12-2005,United Kingdom
423,SodaStream International Ltd.,,Kids,$92344214.07,26-7-2011,United States
424,Arrow DWA Tactical ETF,ddewburybr@springer.com,Movies,$55999156.12,18-12-2010,South Africa
425,"Oncobiologics, Inc.",flamplughbs@seattletimes.com,Movies,$63617297.65,24-12-1986,Unknown
426,Central European Media Enterprises Ltd.,,Games,$72480258.52,15-11-2006,South Africa
427,"Teradyne, Inc.",svinterbu@etsy.com,Outdoors,$36033927.24,19-7-1985,Unknown
428,CafePress Inc.,cmitkovbv@cmu.edu,Grocery,$39817211.48,17-3-2004,United Kingdom
429,"J. Jill, Inc.",ccleavesbw@skyrock.com,Garden,$15667776.83,1-8-2012,United States
430,Matlin & Partners Acquisition Corporation,dwaddellbx@oaic.gov.au,Home,$92281411.45,7-10-1994,United Kingdom
431,STRATS Trust,bhansfordby@npr.org,Home,$70733735.23,18-4-1991,United Kingdom
432,"Leidos Holdings, Inc.",,Music,$80610031.56,2-5-2007,Unknown
433,First Trust Emerging Markets Local Currency Bond ETF,,Music,$41617429.15,5-8-2003,South Africa
434,Cytori Therapeutics Inc,,Home,$81765101.86,8-10-1994,United Kingdom
435,"Inovalon Holdings, Inc.",djoec2@patch.com,Music,$58626972.96,10-10-2012,United Kingdom
436,Loncar Cancer Immunotherapy ETF,rguerrac3@paypal.com,Health,$73288225.94,27-12-2006,South Africa
437,Ivy High Income Opportunities Fund,abeateyc4@google.co.uk,Baby,$24602681.13,20-7-2002,United Kingdom
438,"Flexion Therapeutics, Inc.",,Clothing,$85929355.01,7-10-1993,South Africa
439,"Dycom Industries, Inc.",lalanc6@youtube.com,Toys,$22680767.78,14-12-1997,South Africa
440,"Manhattan Bridge Capital, Inc",gantonichc7@github.com,Tools,$73914356.13,12-11-2008,United States
441,Black Hills Corporation,,Clothing,$86628547.85,8-9-2008,South Africa
442,Tractor Supply Company,conionsc9@newsvine.com,Garden,$4932150.74,12-2-1992,United Kingdom
443,Zynga Inc.,jesherwoodca@reference.com,Home,$68278866.04,2-6-2009,South Africa
444,"BofI Holding, Inc.",,Electronics,$24821516.95,14-2-1993,South Africa
445,"Ballard Power Systems, Inc.",,Games,$42150233.56,3-2-2013,United States
446,Severn Bancorp Inc,lbuckleycd@github.com,Outdoors,$26415974.61,7-6-1997,Unknown
447,"Entergy Arkansas, Inc.",abarkece@nih.gov,Baby,$49841739.91,5-3-2012,United States
448,"DSP Group, Inc.",ztrethowancf@blinklist.com,Games,$35803334.12,8-5-2009,South Africa
449,"Ardelyx, Inc.",ksterleycg@so-net.ne.jp,Kids,$28583474.36,12-1-2001,United Kingdom
450,Autohome Inc.,eoxborrowch@google.it,Movies,$9260392.95,12-7-1998,Unknown
451,Helen of Troy Limited,swhitelockci@t-online.de,Sports,$51201193.50,17-5-1994,United Kingdom
452,iPath US Treasury 2-year Bear ETN,sschoenfischcj@ifeng.com,Electronics,$46454837.66,1-10-2009,South Africa
453,Seadrill Limited,rsaccock@indiegogo.com,Jewelry,$99684443.71,3-8-2009,United Kingdom
454,The9 Limited,,Garden,$82532957.06,24-9-2007,South Africa
455,"Union Bankshares, Inc.",wmeiklejohncm@purevolume.com,Music,$1687659.65,23-9-2011,United Kingdom
456,"Sandy Spring Bancorp, Inc.",,Home,$31560745.61,13-6-1984,United Kingdom
457,Polaris Industries Inc.,mrickasseco@opensource.org,Music,$70267468.55,14-4-2001,United States
458,EnteroMedics Inc.,,Shoes,$30381657.10,8-10-1993,United Kingdom
459,Regency Centers Corporation,,Clothing,$36821779.84,17-1-2003,South Africa
460,Voya Emerging Markets High Income Dividend Equity Fund,clunacr@uol.com.br,Health,$84444767.63,25-5-1993,South Africa
461,"Meritor, Inc.",,,$66660288.69,27-4-1986,United States
462,Vanguard Short-Term Corporate Bond ETF,wridolfoct@multiply.com,Outdoors,$63246837.45,3-3-2007,Unknown
463,Cousins Properties Incorporated,,Movies,$78845980.06,22-6-2009,United Kingdom
464,"Aeglea BioTherapeutics, Inc.",,Games,$44955720.21,9-1-2005,United States
465,"SMART Global Holdings, Inc.",,Grocery,$55795892.46,26-6-1990,South Africa
466,Duff & Phelps Select Energy MLP Fund Inc.,,Automotive,$49993456.97,26-10-2007,United Kingdom
467,"Fogo de Chao, Inc.",,Beauty,$11680728.11,21-10-1986,South Africa
468,Greif Bros. Corporation,,Electronics,$52987233.50,8-6-2003,United Kingdom
469,"Duff & Phelps Utilities Income, Inc.",ppenvarned0@arizona.edu,Movies,$31111822.54,11-5-2008,Unknown
470,"CGI Group, Inc.",,Tools,$25161615.95,17-9-1994,United Kingdom
471,Valley National Bancorp,epottelld2@psu.edu,Health,$94499303.10,19-5-1992,South Africa
472,"Rexford Industrial Realty, Inc.",,Grocery,$71765202.63,18-6-2003,South Africa
473,DRDGOLD Limited,dcunninghamd4@icq.com,Grocery,$90094318.13,10-6-2010,United Kingdom
474,"Continental Resources, Inc.",,Toys,$22584604.03,3-12-2010,Unknown
475,Pointer Telocation Ltd.,,Kids,$31485544.02,17-2-1996,United Kingdom
476,Atento S.A.,,Outdoors,$14339952.15,11-3-1993,United Kingdom
477,National General Holdings Corp,,Shoes,$25432217.48,8-6-2002,South Africa
478,"Franklin Resources, Inc.",,Health,$72547397.77,16-6-2006,United States
479,"Penumbra, Inc.",,Shoes,$95564502.11,4-9-2012,United States
480,Elkhorn Commodity Rotation Strategy ETF,,Tools,$8066234.49,2-10-1992,United Kingdom
481,"Luxoft Holding, Inc.",tdecroixdc@whitehouse.gov,Books,$43895941.02,15-7-2004,Unknown
482,Monster Beverage Corporation,,Toys,$91086841.21,16-4-1993,United States
483,"Civista Bancshares, Inc. ",jmandrierde@dailymotion.com,Toys,$21823198.87,15-3-2001,United Kingdom
484,Nuveen Credit Opportunities 2022 Target Term Fund,zmauserdf@istockphoto.com,Toys,$90969435.66,7-5-1961,United Kingdom
485,RH,ggiuriodg@oaic.gov.au,Industrial,$78273152.34,15-5-1994,United Kingdom
486,Terreno Realty Corporation,,Movies,$818576.98,13-5-1987,South Africa
487,"Hartford Financial Services Group, Inc. (The)",gmaddrelldi@amazon.co.jp,,$46899085.23,4-7-1999,United States
488,"SGOCO Group, Ltd",,Grocery,$33104749.15,15-2-1997,Unknown
489,Hallador Energy Company,paronstamdk@cbc.ca,Games,$57519417.04,14-4-2012,United Kingdom
490,"Mota Group, Inc.",,Automotive,$27520478.04,15-5-2006,United Kingdom
491,Sunrun Inc.,,Clothing,$8437652.21,24-10-2006,South Africa
492,Abeona Therapeutics Inc.,,Shoes,$73949253.64,20-7-2012,United States
493,Medovex Corp.,,Electronics,$60505250.98,19-12-2007,United Kingdom
494,"Points International, Ltd.",jadnetdp@bizjournals.com,Health,$88990837.32,3-8-2011,United Kingdom
495,"Bellicum Pharmaceuticals, Inc.",,Home,$60609967.62,13-7-1992,United States
496,"NantKwest, Inc.",,Shoes,$65053580.42,15-2-2001,United Kingdom
497,Comp En De Mn Cemig ADS,cmckinlessds@posterous.com,Beauty,$56126615.67,24-11-1994,South Africa
498,"Aware, Inc.",,Industrial,$3265105.35,12-2-1989,South Africa
499,iShares Morningstar Mid-Cap ETF,,Computers,$58852571.71,26-5-2009,United States
500,"Sequential Brands Group, Inc.",,Books,$45076926.88,27-8-2009,South Africa
501,"Retrophin, Inc.",dricharsondw@shareasale.com,Books,$62242104.36,23-5-2005,Unknown
502,"SunOpta, Inc.",kinchbalddx@friendfeed.com,Baby,$1248670.38,3-10-2013,South Africa
503,Ion Geophysical Corporation,sjanneydy@sitemeter.com,Books,$6978303.54,16-3-1996,United Kingdom
504,B Communications Ltd.,gpashleydz@odnoklassniki.ru,Garden,$2188777.78,1-12-1985,United Kingdom
505,Costamare Inc.,,Health,$87084707.70,25-4-2012,United Kingdom
506,"HMN Financial, Inc.",facklande1@w3.org,Jewelry,$63460851.80,12-9-2011,South Africa
507,"Spirit Aerosystems Holdings, Inc.",hamblere2@google.it,Toys,$16052906.94,26-10-2009,United Kingdom
508,"Advanced Drainage Systems, Inc.",cpolkinhorne3@tripod.com,Books,$84397976.14,13-9-1999,United States
509,"Energizer Holdings, Inc.",,Books,$86943014.30,16-10-1999,United Kingdom
510,Univar Inc.,,Movies,$87444364.18,9-7-1995,South Africa
511,"FleetCor Technologies, Inc.",,Baby,$46086095.35,21-9-1999,United Kingdom
512,China Distance Education Holdings Limited,,Health,$42312729.49,26-7-1986,United Kingdom
513,Alliance World Dollar Government Fund II,,Computers,$49156402.87,4-12-2010,United Kingdom
514,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,svonoertzene9@illinois.edu,Home,$14658818.55,11-6-1995,South Africa
515,"Aware, Inc.",mheinleinea@usnews.com,Music,$96453644.49,22-5-2002,South Africa
516,"FBL Financial Group, Inc.",,Movies,$55128045.62,1-12-1992,United Kingdom
517,Northwest Natural Gas Company,,Clothing,$23085865.87,21-4-2009,United Kingdom
518,"MFA Financial, Inc.",,Sports,$98088260.11,25-10-2000,United Kingdom
519,"J. W. Mays, Inc.",vhurworthee@ocn.ne.jp,Kids,$93482777.26,27-11-2011,United States
520,"Mota Group, Inc.",,Games,$37809654.82,23-5-2002,United Kingdom
521,First Trust Enhanced Short Maturity ETF,crobbeneg@deviantart.com,Sports,$38719213.88,1-5-2003,United States
522,BRF S.A.,,Music,$47250413.30,10-8-2005,Unknown
523,Navios Maritime Midstream Partners LP,emulvaghei@weather.com,Garden,$9323069.30,23-3-1992,South Africa
524,Northwest Pipe Company,lcastelijnej@noaa.gov,Electronics,$41479197.24,9-9-2010,United States
525,"Agios Pharmaceuticals, Inc.",,Computers,$55072469.93,24-3-2005,South Africa
526,Aetna Inc.,,Garden,$73267363.93,8-4-2008,South Africa
527,"One Liberty Properties, Inc.",,Books,$94485932.05,23-12-2006,United Kingdom
528,"Avangrid, Inc.",,Baby,$41396357.38,3-6-1986,United Kingdom
529,Zions Bancorporation,,Grocery,$71060008.83,11-9-1998,South Africa
530,"Plantronics, Inc.",nbembrickep@angelfire.com,Clothing,$16202928.67,10-4-1990,South Africa
531,"Bassett Furniture Industries, Incorporated",,Games,$32516901.46,16-11-2000,United States
532,John Hancock Investors Trust,,Beauty,$30499525.33,22-12-2009,United Kingdom
533,Alphabet Inc.,kflecknelles@yandex.ru,Outdoors,$58694511.51,4-11-2006,United Kingdom
534,Yangtze River Development Limited,lmargramet@wikispaces.com,Electronics,$49155108.68,7-10-1993,United Kingdom
535,Abeona Therapeutics Inc.,nmordineu@bigcartel.com,Baby,$9541913.26,23-6-1992,Unknown
536,"Web.com Group, Inc.",,Computers,$98721845.06,26-12-2003,United States
537,MSA Safety Incorporporated,zfollanew@wired.com,,$68120165.99,8-8-1995,South Africa
538,Leaf Group Ltd.,,Beauty,$28045318.14,5-1-1997,South Africa
539,First Trust SSI Strategic Convertible Securities ETF,,Home,$94838333.87,9-2-2007,United Kingdom
540,"Diversified Restaurant Holdings, Inc.",,Games,$45352963.12,8-2-2005,United States
541,"China Biologic Products, Inc.",aenochssonf0@usnews.com,,$5486512.74,10-5-1985,United Kingdom
542,"Penumbra, Inc.",,Games,$42803202.25,7-11-2004,United Kingdom
543,Brookfield DTLA Inc.,,Health,$45464145.37,6-8-2002,United Kingdom
544,Mercury Systems Inc,,Shoes,$45713786.18,24-10-2007,South Africa
545,Vanguard Short-Term Inflation-Protected Securities Index Fund,,Industrial,$86329237.68,25-1-1992,South Africa
546,Morgan Stanley,agarrf5@usnews.com,Health,$19821689.09,10-6-2008,United States
547,"Timberland Bancorp, Inc.",gguestf6@wikimedia.org,Home,$4128451.79,7-5-2000,United Kingdom
548,Forum Merger Corporation,,Health,$6738658.77,20-5-2008,South Africa
549,Internet Gold Golden Lines Ltd.,acushf8@blogger.com,Games,$26787447.78,22-2-2002,United Kingdom
550,B.O.S. Better Online Solutions,,Clothing,$3324226.64,18-3-2008,United Kingdom
551,"ClubCorp Holdings, Inc.",,Music,$61068304.95,1-12-1994,United Kingdom
552,Cabot Corporation,,Garden,$22969240.19,15-10-2008,United States
553,Procter & Gamble Company (The),,Jewelry,$94265739.38,14-5-2006,United Kingdom
554,"Poage Bankshares, Inc.",kfranekfd@ycombinator.com,Outdoors,$7978306.82,17-12-2002,Unknown
555,"Ever-Glory International Group, Inc.",,Electronics,$53419275.17,20-9-1992,United Kingdom
556,"NextEra Energy, Inc.",,Industrial,$60398835.53,1-8-1990,United States
557,Terreno Realty Corporation,,Baby,$17061957.01,11-2-1986,United Kingdom
558,"Core-Mark Holding Company, Inc.",disoldifh@imdb.com,Tools,$10616665.82,9-11-1993,United Kingdom
559,"Hortonworks, Inc.",,Tools,$66767251.58,20-7-2011,United Kingdom
560,"Caladrius Biosciences, Inc.",,Movies,$68859713.32,9-3-1993,United Kingdom
561,NGL ENERGY PARTNERS LP,afossefk@goodreads.com,Shoes,$48335174.17,4-11-2003,United Kingdom
562,The Spectranetics Corporation,,Baby,$51742731.00,8-12-2009,United States
563,"Mid-America Apartment Communities, Inc.",grainvillefm@dot.gov,,$54111634.40,10-3-2007,United States
564,"Big Lots, Inc.",ldimanchefn@hugedomains.com,,$74759916.06,22-3-2003,United Kingdom
565,Perrigo Company,cellicottfo@blogtalkradio.com,Grocery,$59613132.58,18-7-2003,United States
566,Manulife Financial Corp,zpartonfp@is.gd,Toys,$95677722.19,2-7-2007,United Kingdom
567,NQ Mobile Inc.,,Tools,$67018348.37,14-11-2003,United Kingdom
568,"Blackrock MuniYield California Insured Fund, Inc.",,,$1173601.40,6-7-2004,South Africa
569,"Invuity, Inc.",dscanefs@go.com,Industrial,$45212715.68,10-6-2007,United States
570,"ChemoCentryx, Inc.",,Beauty,$30468068.89,8-9-1997,United Kingdom
571,"Centennial Resource Development, Inc.",,Garden,$24004618.43,15-6-2005,South Africa
572,"PayPal Holdings, Inc.",nruburyfv@networksolutions.com,Books,$97368462.31,11-10-1980,United States
573,VCA Inc. ,frollofw@nyu.edu,Electronics,$95556635.70,2-7-2010,Unknown
574,Viavi Solutions Inc.,,Tools,$67358721.47,24-1-1991,United Kingdom
575,Kearny Financial,ckleinmintzfy@qq.com,Garden,$27601482.83,19-9-2005,South Africa
576,Natl Westminster Pfd,,Computers,$1171441.63,24-5-2005,South Africa
577,"Colony Bankcorp, Inc.",dchesherg0@google.co.uk,Games,$98538144.41,1-11-2004,United Kingdom
578,"Green Brick Partners, Inc.",,Kids,$79533528.16,18-1-1984,United Kingdom
579,Ducommun Incorporated,,Computers,$49413368.58,15-9-1994,South Africa
580,AU Optronics Corp,,Kids,$73500349.22,15-7-2007,South Africa
581,Newtek Business Services Corp.,,Grocery,$49011256.61,15-1-1996,United Kingdom
582,Banco Bradesco Sa,ccellig5@cafepress.com,Automotive,$18195567.09,4-8-2010,United Kingdom
583,"CBIZ, Inc.",,Movies,$57415915.53,19-6-2009,United Kingdom
584,"CoreCivic, Inc.",hboddiceg7@shareasale.com,Shoes,$36840104.25,1-1-2009,United Kingdom
585,"SolarEdge Technologies, Inc.",amcguffieg8@census.gov,Beauty,$11195059.91,22-7-2009,United Kingdom
586,Gladstone Commercial Corporation,cbernardellig9@123-reg.co.uk,Toys,$54309369.24,7-2-2002,South Africa
587,"Comfort Systems USA, Inc.",,Music,$1639844.32,24-11-2011,United Kingdom
588,"Soleno Therapeutics, Inc.",,Beauty,$77341140.69,4-1-2004,United Kingdom
589,Bank of the Ozarks,,Games,$20046414.42,22-9-2002,South Africa
590,"SilverSun Technologies, Inc.",,Shoes,$43490983.14,9-5-2012,South Africa
591,Voya Asia Pacific High Dividend Equity Income Fund,,Baby,$61451107.00,18-2-1997,United Kingdom
592,"Goldman Sachs Group, Inc. (The)",,Toys,$22960181.87,16-2-2004,South Africa
593,"Aerohive Networks, Inc.",,Toys,$31534215.29,6-1-1993,United Kingdom
594,"Trupanion, Inc.",,Jewelry,$27033829.13,15-1-1998,South Africa
595,"Texas Capital Bancshares, Inc.",,Industrial,$77265744.42,12-10-1995,South Africa
596,"Caleres, Inc.",,Kids,$95826679.22,27-4-2002,Unknown
597,Jewett-Cameron Trading Company,bcahillanegk@berkeley.edu,Toys,$68369041.28,16-1-2008,Unknown
598,MediWound Ltd.,,Computers,$92397143.06,19-6-2000,United Kingdom
599,Adamis Pharmaceuticals Corporation,kaisbettgm@state.tx.us,Grocery,$5297486.30,2-3-2001,United States
600,RAIT Financial Trust,ddytegn@elegantthemes.com,Books,$51098612.08,23-7-1995,Unknown
601,"Pioneer Power Solutions, Inc.",cbillsberrygo@github.io,Computers,$9056715.24,25-6-2006,United Kingdom
602,"The Meet Group, Inc.",fandrejevicgp@tmall.com,Books,$15357900.49,11-10-2000,United Kingdom
603,Cenveo Inc,,Health,$29172781.87,17-9-1990,United States
604,RAIT Financial Trust,,Grocery,$79969332.99,6-11-2009,United Kingdom
605,Nuveen Credit Opportunities 2022 Target Term Fund,,Computers,$86575786.23,5-3-2005,South Africa
606,"Euronet Worldwide, Inc.",kramsteadgt@merriam-webster.com,Kids,$27186846.62,1-7-2010,United Kingdom
607,Chemical Financial Corporation,bswindengu@cargocollective.com,Kids,$49330594.20,21-9-2010,United Kingdom
608,Envision Healthcare Corporation,,Tools,$54748318.18,7-6-2012,United Kingdom
609,"Customers Bancorp, Inc",,Movies,$48728478.91,27-8-2011,United States
